State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
HI,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,10,0,2,,10/01/2015,06/30/2017
HI,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,12,0,0,,10/01/2015,06/30/2017
HI,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,10,0,2,,10/01/2015,06/30/2017
HI,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,10,0,2,,10/01/2015,06/30/2017
MN,Death rate for heart attack patients,MORT_30_AMI,0,24,0,87,,07/01/2014,06/30/2017
MN,Death rate for heart failure patients,MORT_30_HF,0,67,2,58,,07/01/2014,06/30/2017
MN,Death rate for pneumonia patients,MORT_30_PN,0,88,5,36,,07/01/2014,06/30/2017
MN,Death rate for COPD patients,MORT_30_COPD,0,53,0,75,,07/01/2014,06/30/2017
MN,Death rate for stroke patients,MORT_30_STK,0,32,1,86,,07/01/2014,06/30/2017
MN,Death rate for CABG surgery patients,MORT_30_CABG,0,13,0,1,,07/01/2014,06/30/2017
MN,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,54,2,28,,04/01/2014,03/31/2017
MN,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,4,43,2,Not Available,,10/01/2015,06/30/2017
MN,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,48,0,1,,10/01/2015,06/30/2017
MN,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,47,0,1,,10/01/2015,06/30/2017
MN,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,2,31,0,14,,10/01/2015,06/30/2017
MN,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,46,0,1,,10/01/2015,06/30/2017
MN,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,16,1,26,,10/01/2015,06/30/2017
MN,Pressure Ulcer Rate,PSI_3_ULCER,2,46,0,0,,10/01/2015,06/30/2017
MN,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,48,0,1,,10/01/2015,06/30/2017
MN,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,1,45,0,1,,10/01/2015,06/30/2017
MN,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,45,0,1,,10/01/2015,06/30/2017
MN,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1,45,0,2,,10/01/2015,06/30/2017
MN,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,3,41,2,2,,10/01/2015,06/30/2017
NJ,Death rate for heart attack patients,MORT_30_AMI,1,60,2,2,,07/01/2014,06/30/2017
NJ,Death rate for heart failure patients,MORT_30_HF,1,55,9,0,,07/01/2014,06/30/2017
NJ,Death rate for pneumonia patients,MORT_30_PN,2,52,11,0,,07/01/2014,06/30/2017
NJ,Death rate for COPD patients,MORT_30_COPD,1,60,2,1,,07/01/2014,06/30/2017
NJ,Death rate for stroke patients,MORT_30_STK,0,58,3,2,,07/01/2014,06/30/2017
NJ,Death rate for CABG surgery patients,MORT_30_CABG,0,16,1,2,,07/01/2014,06/30/2017
NJ,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,48,2,13,,04/01/2014,03/31/2017
NJ,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,5,57,2,Not Available,,10/01/2015,06/30/2017
NJ,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,64,0,0,,10/01/2015,06/30/2017
NJ,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,4,60,0,0,,10/01/2015,06/30/2017
NJ,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,63,0,1,,10/01/2015,06/30/2017
NJ,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,64,0,0,,10/01/2015,06/30/2017
NJ,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,53,1,9,,10/01/2015,06/30/2017
NJ,Pressure Ulcer Rate,PSI_3_ULCER,7,57,0,0,,10/01/2015,06/30/2017
NJ,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,64,0,0,,10/01/2015,06/30/2017
NJ,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,3,58,1,2,,10/01/2015,06/30/2017
NJ,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,61,1,0,,10/01/2015,06/30/2017
NJ,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,62,0,2,,10/01/2015,06/30/2017
NJ,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,2,57,2,3,,10/01/2015,06/30/2017
OK,Death rate for heart attack patients,MORT_30_AMI,0,35,0,63,,07/01/2014,06/30/2017
OK,Death rate for heart failure patients,MORT_30_HF,3,77,1,37,,07/01/2014,06/30/2017
OK,Death rate for pneumonia patients,MORT_30_PN,6,97,2,16,,07/01/2014,06/30/2017
OK,Death rate for COPD patients,MORT_30_COPD,2,82,0,33,,07/01/2014,06/30/2017
OK,Death rate for stroke patients,MORT_30_STK,1,37,1,68,,07/01/2014,06/30/2017
OK,Death rate for CABG surgery patients,MORT_30_CABG,1,15,0,2,,07/01/2014,06/30/2017
OK,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,48,0,12,,04/01/2014,03/31/2017
OK,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,6,76,2,Not Available,,10/01/2015,06/30/2017
OK,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,83,0,1,,10/01/2015,06/30/2017
OK,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,1,59,2,12,,10/01/2015,06/30/2017
OK,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,50,0,20,,10/01/2015,06/30/2017
OK,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,57,0,23,,10/01/2015,06/30/2017
OK,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,28,0,18,,10/01/2015,06/30/2017
OK,Pressure Ulcer Rate,PSI_3_ULCER,4,77,1,2,,10/01/2015,06/30/2017
OK,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,83,0,1,,10/01/2015,06/30/2017
OK,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,2,54,1,9,,10/01/2015,06/30/2017
OK,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,62,0,12,,10/01/2015,06/30/2017
OK,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,57,0,9,,10/01/2015,06/30/2017
OK,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,3,52,1,10,,10/01/2015,06/30/2017
OR,Death rate for heart attack patients,MORT_30_AMI,0,27,0,33,,07/01/2014,06/30/2017
OR,Death rate for heart failure patients,MORT_30_HF,3,46,1,11,,07/01/2014,06/30/2017
OR,Death rate for pneumonia patients,MORT_30_PN,3,53,1,4,,07/01/2014,06/30/2017
OR,Death rate for COPD patients,MORT_30_COPD,1,48,0,10,,07/01/2014,06/30/2017
OR,Death rate for stroke patients,MORT_30_STK,1,41,0,15,,07/01/2014,06/30/2017
OR,Death rate for CABG surgery patients,MORT_30_CABG,0,12,0,2,,07/01/2014,06/30/2017
OR,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,42,0,4,,04/01/2014,03/31/2017
OR,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,0,31,3,Not Available,,10/01/2015,06/30/2017
OR,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,1,33,0,0,,10/01/2015,06/30/2017
OR,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,33,0,0,,10/01/2015,06/30/2017
OR,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,33,0,0,,10/01/2015,06/30/2017
OR,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,1,32,0,1,,10/01/2015,06/30/2017
OR,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,17,0,15,,10/01/2015,06/30/2017
OR,Pressure Ulcer Rate,PSI_3_ULCER,1,32,1,0,,10/01/2015,06/30/2017
OR,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,34,0,0,,10/01/2015,06/30/2017
OR,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,33,0,0,,10/01/2015,06/30/2017
OR,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,32,0,0,,10/01/2015,06/30/2017
OR,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,33,0,0,,10/01/2015,06/30/2017
OR,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,30,2,0,,10/01/2015,06/30/2017
WA,Death rate for heart attack patients,MORT_30_AMI,1,47,0,34,,07/01/2014,06/30/2017
WA,Death rate for heart failure patients,MORT_30_HF,6,61,0,22,,07/01/2014,06/30/2017
WA,Death rate for pneumonia patients,MORT_30_PN,9,68,3,10,,07/01/2014,06/30/2017
WA,Death rate for COPD patients,MORT_30_COPD,6,63,0,17,,07/01/2014,06/30/2017
WA,Death rate for stroke patients,MORT_30_STK,2,52,1,30,,07/01/2014,06/30/2017
WA,Death rate for CABG surgery patients,MORT_30_CABG,0,16,0,1,,07/01/2014,06/30/2017
WA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3,50,2,7,,04/01/2014,03/31/2017
WA,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,2,42,3,Not Available,,10/01/2015,06/30/2017
WA,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,47,0,0,,10/01/2015,06/30/2017
WA,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,1,44,1,1,,10/01/2015,06/30/2017
WA,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,45,0,2,,10/01/2015,06/30/2017
WA,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,1,45,0,1,,10/01/2015,06/30/2017
WA,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,1,36,0,7,,10/01/2015,06/30/2017
WA,Pressure Ulcer Rate,PSI_3_ULCER,3,44,0,0,,10/01/2015,06/30/2017
WA,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,47,0,0,,10/01/2015,06/30/2017
WA,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,1,45,0,0,,10/01/2015,06/30/2017
WA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,46,0,1,,10/01/2015,06/30/2017
WA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,46,0,1,,10/01/2015,06/30/2017
WA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,43,2,1,,10/01/2015,06/30/2017
WI,Death rate for heart attack patients,MORT_30_AMI,1,50,2,67,,07/01/2014,06/30/2017
WI,Death rate for heart failure patients,MORT_30_HF,4,95,4,20,,07/01/2014,06/30/2017
WI,Death rate for pneumonia patients,MORT_30_PN,6,108,6,3,,07/01/2014,06/30/2017
WI,Death rate for COPD patients,MORT_30_COPD,2,93,1,24,,07/01/2014,06/30/2017
WI,Death rate for stroke patients,MORT_30_STK,3,68,0,47,,07/01/2014,06/30/2017
WI,Death rate for CABG surgery patients,MORT_30_CABG,0,24,1,4,,07/01/2014,06/30/2017
WI,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,82,1,19,,04/01/2014,03/31/2017
WI,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,2,59,4,Not Available,,10/01/2015,06/30/2017
WI,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,65,0,0,,10/01/2015,06/30/2017
WI,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,65,0,0,,10/01/2015,06/30/2017
WI,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,63,0,2,,10/01/2015,06/30/2017
WI,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,65,0,0,,10/01/2015,06/30/2017
WI,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,30,0,29,,10/01/2015,06/30/2017
WI,Pressure Ulcer Rate,PSI_3_ULCER,2,63,0,0,,10/01/2015,06/30/2017
WI,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,65,0,0,,10/01/2015,06/30/2017
WI,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,64,1,0,,10/01/2015,06/30/2017
WI,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,64,0,0,,10/01/2015,06/30/2017
WI,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,65,0,0,,10/01/2015,06/30/2017
WI,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,59,2,0,,10/01/2015,06/30/2017
AL,Death rate for heart attack patients,MORT_30_AMI,2,38,0,47,,07/01/2014,06/30/2017
AL,Death rate for heart failure patients,MORT_30_HF,3,72,4,10,,07/01/2014,06/30/2017
AL,Death rate for pneumonia patients,MORT_30_PN,10,71,3,5,,07/01/2014,06/30/2017
AL,Death rate for COPD patients,MORT_30_COPD,2,76,0,9,,07/01/2014,06/30/2017
AL,Death rate for stroke patients,MORT_30_STK,1,54,0,30,,07/01/2014,06/30/2017
AL,Death rate for CABG surgery patients,MORT_30_CABG,1,21,0,2,,07/01/2014,06/30/2017
AL,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,43,0,5,,04/01/2014,03/31/2017
AL,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,3,81,0,Not Available,,10/01/2015,06/30/2017
AL,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,84,0,0,,10/01/2015,06/30/2017
AL,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,4,57,0,8,,10/01/2015,06/30/2017
AL,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,57,0,10,,10/01/2015,06/30/2017
AL,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,62,0,12,,10/01/2015,06/30/2017
AL,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,3,27,0,24,,10/01/2015,06/30/2017
AL,Pressure Ulcer Rate,PSI_3_ULCER,3,79,2,0,,10/01/2015,06/30/2017
AL,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,84,0,0,,10/01/2015,06/30/2017
AL,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,1,47,0,6,,10/01/2015,06/30/2017
AL,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,59,0,9,,10/01/2015,06/30/2017
AL,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,48,1,5,,10/01/2015,06/30/2017
AL,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,45,0,5,,10/01/2015,06/30/2017
FL,Death rate for heart attack patients,MORT_30_AMI,1,155,3,26,,07/01/2014,06/30/2017
FL,Death rate for heart failure patients,MORT_30_HF,11,157,13,9,,07/01/2014,06/30/2017
FL,Death rate for pneumonia patients,MORT_30_PN,21,146,20,5,,07/01/2014,06/30/2017
FL,Death rate for COPD patients,MORT_30_COPD,11,154,10,9,,07/01/2014,06/30/2017
FL,Death rate for stroke patients,MORT_30_STK,5,142,2,32,,07/01/2014,06/30/2017
FL,Death rate for CABG surgery patients,MORT_30_CABG,1,70,0,4,,07/01/2014,06/30/2017
FL,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,137,7,22,,04/01/2014,03/31/2017
FL,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,9,152,5,Not Available,,10/01/2015,06/30/2017
FL,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,1,165,0,0,,10/01/2015,06/30/2017
FL,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,6,151,3,3,,10/01/2015,06/30/2017
FL,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,1,157,0,4,,10/01/2015,06/30/2017
FL,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,3,157,1,3,,10/01/2015,06/30/2017
FL,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,2,109,6,42,,10/01/2015,06/30/2017
FL,Pressure Ulcer Rate,PSI_3_ULCER,9,152,5,0,,10/01/2015,06/30/2017
FL,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,166,0,0,,10/01/2015,06/30/2017
FL,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,8,141,3,7,,10/01/2015,06/30/2017
FL,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,157,1,3,,10/01/2015,06/30/2017
FL,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,5,145,2,7,,10/01/2015,06/30/2017
FL,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,13,139,0,7,,10/01/2015,06/30/2017
GA,Death rate for heart attack patients,MORT_30_AMI,1,67,0,50,,07/01/2014,06/30/2017
GA,Death rate for heart failure patients,MORT_30_HF,4,93,5,32,,07/01/2014,06/30/2017
GA,Death rate for pneumonia patients,MORT_30_PN,8,113,0,14,,07/01/2014,06/30/2017
GA,Death rate for COPD patients,MORT_30_COPD,3,103,0,25,,07/01/2014,06/30/2017
GA,Death rate for stroke patients,MORT_30_STK,3,73,0,45,,07/01/2014,06/30/2017
GA,Death rate for CABG surgery patients,MORT_30_CABG,0,18,0,5,,07/01/2014,06/30/2017
GA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,71,1,19,,04/01/2014,03/31/2017
GA,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,7,93,0,Not Available,,10/01/2015,06/30/2017
GA,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,99,0,1,,10/01/2015,06/30/2017
GA,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,3,83,0,6,,10/01/2015,06/30/2017
GA,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,81,0,11,,10/01/2015,06/30/2017
GA,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,89,0,6,,10/01/2015,06/30/2017
GA,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,48,1,32,,10/01/2015,06/30/2017
GA,Pressure Ulcer Rate,PSI_3_ULCER,2,96,1,1,,10/01/2015,06/30/2017
GA,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,99,0,1,,10/01/2015,06/30/2017
GA,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,4,66,0,9,,10/01/2015,06/30/2017
GA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,86,0,6,,10/01/2015,06/30/2017
GA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,2,70,0,9,,10/01/2015,06/30/2017
GA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,5,65,0,10,,10/01/2015,06/30/2017
MO,Death rate for heart attack patients,MORT_30_AMI,2,55,1,46,,07/01/2014,06/30/2017
MO,Death rate for heart failure patients,MORT_30_HF,3,86,5,21,,07/01/2014,06/30/2017
MO,Death rate for pneumonia patients,MORT_30_PN,6,100,6,5,,07/01/2014,06/30/2017
MO,Death rate for COPD patients,MORT_30_COPD,1,100,1,10,,07/01/2014,06/30/2017
MO,Death rate for stroke patients,MORT_30_STK,2,52,1,52,,07/01/2014,06/30/2017
MO,Death rate for CABG surgery patients,MORT_30_CABG,1,31,0,2,,07/01/2014,06/30/2017
MO,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2,64,1,12,,04/01/2014,03/31/2017
MO,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,7,63,2,Not Available,,10/01/2015,06/30/2017
MO,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,1,71,0,0,,10/01/2015,06/30/2017
MO,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,3,64,0,2,,10/01/2015,06/30/2017
MO,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,1,59,0,9,,10/01/2015,06/30/2017
MO,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,2,66,0,2,,10/01/2015,06/30/2017
MO,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,1,42,0,18,,10/01/2015,06/30/2017
MO,Pressure Ulcer Rate,PSI_3_ULCER,4,67,1,0,,10/01/2015,06/30/2017
MO,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,72,0,0,,10/01/2015,06/30/2017
MO,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,2,58,0,2,,10/01/2015,06/30/2017
MO,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,3,64,0,2,,10/01/2015,06/30/2017
MO,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,4,56,0,2,,10/01/2015,06/30/2017
MO,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,53,3,2,,10/01/2015,06/30/2017
MT,Death rate for heart attack patients,MORT_30_AMI,0,9,0,34,,07/01/2014,06/30/2017
MT,Death rate for heart failure patients,MORT_30_HF,3,25,0,33,,07/01/2014,06/30/2017
MT,Death rate for pneumonia patients,MORT_30_PN,0,44,0,17,,07/01/2014,06/30/2017
MT,Death rate for COPD patients,MORT_30_COPD,0,25,0,34,,07/01/2014,06/30/2017
MT,Death rate for stroke patients,MORT_30_STK,2,12,0,32,,07/01/2014,06/30/2017
MT,Death rate for CABG surgery patients,MORT_30_CABG,0,5,0,0,,07/01/2014,06/30/2017
MT,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,23,0,3,,04/01/2014,03/31/2017
MT,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,0,13,1,Not Available,,10/01/2015,06/30/2017
MT,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,13,0,1,,10/01/2015,06/30/2017
MT,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,11,1,0,,10/01/2015,06/30/2017
MT,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,1,9,0,2,,10/01/2015,06/30/2017
MT,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,11,0,2,,10/01/2015,06/30/2017
MT,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,8,0,2,,10/01/2015,06/30/2017
MT,Pressure Ulcer Rate,PSI_3_ULCER,0,13,0,1,,10/01/2015,06/30/2017
MT,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,13,0,1,,10/01/2015,06/30/2017
MT,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,11,1,0,,10/01/2015,06/30/2017
MT,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,12,0,0,,10/01/2015,06/30/2017
MT,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,12,0,0,,10/01/2015,06/30/2017
MT,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,11,0,0,,10/01/2015,06/30/2017
TX,Death rate for heart attack patients,MORT_30_AMI,5,182,0,130,,07/01/2014,06/30/2017
TX,Death rate for heart failure patients,MORT_30_HF,2,247,15,102,,07/01/2014,06/30/2017
TX,Death rate for pneumonia patients,MORT_30_PN,6,276,27,73,,07/01/2014,06/30/2017
TX,Death rate for COPD patients,MORT_30_COPD,4,255,3,108,,07/01/2014,06/30/2017
TX,Death rate for stroke patients,MORT_30_STK,5,178,1,145,,07/01/2014,06/30/2017
TX,Death rate for CABG surgery patients,MORT_30_CABG,5,100,1,21,,07/01/2014,06/30/2017
TX,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3,207,4,59,,04/01/2014,03/31/2017
TX,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,6,288,6,Not Available,,10/01/2015,06/30/2017
TX,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,2,288,0,10,,10/01/2015,06/30/2017
TX,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,7,245,6,13,,10/01/2015,06/30/2017
TX,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,221,0,43,,10/01/2015,06/30/2017
TX,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,243,0,30,,10/01/2015,06/30/2017
TX,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,3,127,3,75,,10/01/2015,06/30/2017
TX,Pressure Ulcer Rate,PSI_3_ULCER,8,272,4,16,,10/01/2015,06/30/2017
TX,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,289,0,11,,10/01/2015,06/30/2017
TX,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,3,219,1,28,,10/01/2015,06/30/2017
TX,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,3,255,0,13,,10/01/2015,06/30/2017
TX,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,3,223,0,27,,10/01/2015,06/30/2017
TX,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,11,209,2,31,,10/01/2015,06/30/2017
CO,Death rate for heart attack patients,MORT_30_AMI,0,34,0,36,,07/01/2014,06/30/2017
CO,Death rate for heart failure patients,MORT_30_HF,0,54,0,23,,07/01/2014,06/30/2017
CO,Death rate for pneumonia patients,MORT_30_PN,0,66,2,10,,07/01/2014,06/30/2017
CO,Death rate for COPD patients,MORT_30_COPD,3,48,0,22,,07/01/2014,06/30/2017
CO,Death rate for stroke patients,MORT_30_STK,0,36,0,37,,07/01/2014,06/30/2017
CO,Death rate for CABG surgery patients,MORT_30_CABG,1,14,0,0,,07/01/2014,06/30/2017
CO,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,48,2,10,,04/01/2014,03/31/2017
CO,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,4,38,4,Not Available,,10/01/2015,06/30/2017
