Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score
110198,WELLSTAR NORTH FULTON HOSPITAL,3000 HOSPITAL BOULEVARD,ROSWELL,GA,30076,Fulton,52.5,13.125,11,2.75,78,19.5,10,2.5,37.875
110200,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,100 FRIST COURT,COLUMBUS,GA,31909,Muscogee,Not Available,Not Available,88,29.33333333,50,16.66666667,10,3.333333333,49.33333333
110201,COLISEUM NORTHSIDE HOSPITAL,400 CHARTER BOULEVARD,MACON,GA,31210,Bibb,80,20,37,9.25,25,6.25,10,2.5,38
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,Fayette,57.5,14.375,28,7,46.66666667,11.66666667,30,7.5,40.54166667
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,JASPER,GA,30143,Pickens,55,13.75,49,12.25,90,22.5,60,15,63.5
110226,DEKALB MEDICAL CENTER AT HILLANDALE,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,DeKalb,40,10,22,5.5,4,1,20,5,21.5
110229,"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,NEWNAN,GA,30265,Coweta,72.5,18.125,29,7.25,50,12.5,20,5,42.875
110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,Gwinnett,80,20,24,6,21.66666667,5.416666667,50,12.5,43.91666667
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY,NEWNAN,GA,30265,Coweta,Not Available,Not Available,77,25.66666667,45,15,20,6.666666667,47.33333333
120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,Honolulu,77.5,19.375,34,8.5,43.33333333,10.83333333,20,5,43.70833333
120002,MAUI MEMORIAL MEDICAL CENTER,221 MAHALANI STREET,WAILUKU,HI,96793,Maui,66.66666667,16.66666667,13,3.25,16.66666667,4.166666667,70,17.5,41.58333333
120004,WAHIAWA GENERAL HOSPITAL,128 LEHUA STREET,WAHIAWA,HI,96786,Honolulu,66.66666667,22.22222222,22,7.333333333,Not Available,Not Available,90,30,59.55555556
120005,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,HI,96720,Hawaii,22.5,5.625,33,8.25,80,20,60,15,48.875
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,HI,96734,Honolulu,40,10,62,15.5,75,18.75,60,15,59.25
120007,KUAKINI MEDICAL CENTER,347 NORTH KUAKINI STREET,HONOLULU,HI,96817,Honolulu,50,12.5,14,3.5,60,15,0,0,31
120011,KAISER FOUNDATION HOSPITAL,3288 MOANALUA RD,HONOLULU,HI,96819,Honolulu,35,8.75,59,14.75,23.33333333,5.833333333,70,17.5,46.83333333
120014,WILCOX MEMORIAL HOSPITAL,3-3420 KUHIO HIGHWAY,LIHUE,HI,96766,Kauai,55,13.75,37,9.25,44,11,80,20,54
120019,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,HI,96750,Hawaii,0,0,20,5,34,8.5,50,12.5,26
120022,STRAUB CLINIC AND HOSPITAL,888 SO KING STREET,HONOLULU,HI,96813,Honolulu,70,17.5,47,11.75,12,3,30,7.5,39.75
120026,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,AIEA,HI,96701,Honolulu,63.33333333,15.83333333,66,16.5,68,17,50,12.5,61.83333333
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,Hawaii,33.33333333,8.333333333,24,6,0,0,50,12.5,26.83333333
130002,ST LUKE'S MAGIC VALLEY RMC,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,Twin Falls,85,21.25,29,7.25,61.66666667,15.41666667,30,7.5,51.41666667
130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,LEWISTON,ID,83501,Nez Perce,30,7.5,31,7.75,22,5.5,10,2.5,23.25
130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,Ada,75,18.75,38,9.5,21.66666667,5.416666667,40,10,43.66666667
130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,Ada,47.5,11.875,19,4.75,55,13.75,20,5,35.375
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,4300 E FLAMINGO AVE,NAMPA,ID,83687,Canyon,67.5,16.875,22,5.5,70,17.5,40,10,49.875
130014,WEST VALLEY MEDICAL CENTER,1717 ARLINGTON STREET,CALDWELL,ID,83605,Canyon,50,12.5,32,8,96.66666667,24.16666667,30,7.5,52.16666667
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,IDAHO FALLS,ID,83404,Bonneville,35,8.75,20,5,26.66666667,6.666666667,0,0,20.41666667
130025,MADISON MEMORIAL HOSPITAL,450 EAST MAIN STREET,REXBURG,ID,83440,Madison,46.66666667,11.66666667,28,7,75,18.75,0,0,37.41666667
130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201,Bannock,50,12.5,36,9,21.66666667,5.416666667,10,2.5,29.41666667
130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,Kootenai,60,15,41,10.25,48.33333333,12.08333333,0,0,37.33333333
130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,Bonneville,Not Available,Not Available,47,15.66666667,100,33.33333333,0,0,49
140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,Fulton,46.66666667,11.66666667,31,7.75,10,2.5,30,7.5,29.41666667
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,Madison,37.5,9.375,41,10.25,68.33333333,17.08333333,40,10,46.70833333
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON ST,JOLIET,IL,60435,Will,52.5,13.125,15,3.75,15,3.75,0,0,20.625
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,Cook,57.5,14.375,23,5.75,72,18,10,2.5,40.625
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,2650 RIDGE AVE,EVANSTON,IL,60201,Cook,90,22.5,35,8.75,35,8.75,0,0,40
140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,Williamson,32.5,8.125,23,5.75,35,8.75,0,0,22.625
140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,Lee,65,16.25,38,9.5,35,8.75,30,7.5,42
140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,PEORIA,IL,61614,Peoria,32.5,8.125,16,4,50,12.5,60,15,39.625
140015,BLESSING HOSPITAL,BROADWAY ST & N 11TH ST,QUINCY,IL,62305,Adams,60,15,36,9,55,13.75,20,5,42.75
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,Cook,46.66666667,11.66666667,7,1.75,45,11.25,20,5,29.66666667
140029,COPLEY MEMORIAL HOSPITAL,2000 OGDEN AVENUE,AURORA,IL,60504,DuPage,62.5,15.625,34,8.5,63.33333333,15.83333333,0,0,39.95833333
140030,SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,Kane,90,22.5,37,9.25,68.33333333,17.08333333,0,0,48.83333333
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,Effingham,35,8.75,66,16.5,10,2.5,20,5,32.75
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,Marion,60,15,56,14,93.33333333,23.33333333,20,5,57.33333333
140040,GALESBURG COTTAGE HOSPITAL,695 N KELLOGG ST,GALESBURG,IL,61401,Knox,45,11.25,38,9.5,46.66666667,11.66666667,0,0,32.41666667
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,Whiteside,60,15,61,15.25,46,11.5,20,5,46.75
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,Jefferson,17.5,4.375,40,10,46.66666667,11.66666667,0,0,26.04166667
140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,Cook,87.5,21.875,18,4.5,76.66666667,19.16666667,10,2.5,48.04166667
140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,Cook,92.5,23.125,20,5,36.66666667,9.166666667,0,0,37.29166667
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,Madison,42.5,10.625,30,7.5,57.5,14.375,40,10,42.5
140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,Sangamon,50,12.5,27,6.75,76.66666667,19.16666667,0,0,38.41666667
140054,MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,Cook,30,7.5,19,4.75,53.33333333,13.33333333,0,0,25.58333333
140058,PASSAVANT AREA HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,Morgan,60,15,29,7.25,45,11.25,60,15,48.5
140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,Jersey,27.5,9.166666667,83,27.66666667,Not Available,Not Available,0,0,36.83333333
140062,PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,Cook,82.5,20.625,28,7,50,12.5,0,0,40.125
140063,RUSH OAK PARK HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,60304,Cook,82.5,20.625,41,10.25,30,7.5,40,10,48.375
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,Knox,42.5,10.625,63,15.75,60,15,10,2.5,43.875
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,60525,Cook,80,20,55,13.75,73.33333333,18.33333333,0,0,52.08333333
140067,SAINT FRANCIS MEDICAL CENTER,530 NE GLEN OAK AVE,PEORIA,IL,61637,Peoria,52.5,13.125,26,6.5,11.66666667,2.916666667,0,0,22.54166667
140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,Cook,45,11.25,38,9.5,0,0,0,0,20.75
140077,TOUCHETTE REGIONAL HOSPITAL INC,5900 BOND AVENUE,CENTREVILLE,IL,62207,Saint Clair,30,10,Not Available,Not Available,100,33.33333333,90,30,73.33333333
140080,PRESENCE SAINT FRANCIS HOSPITAL,355 RIDGE AVE,EVANSTON,IL,60202,Cook,72.5,18.125,17,4.25,35,8.75,0,0,31.125
140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,Cook,65,16.25,18,4.5,24,6,0,0,26.75
140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,Cook,40,13.33333333,Not Available,Not Available,45,15,0,0,28.33333333
140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,Lake,70,17.5,15,3.75,51.66666667,12.91666667,0,0,34.16666667
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,Cook,35,8.75,32,8,20,5,0,0,21.75
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,McDonough,13.33333333,3.333333333,40,10,100,25,30,7.5,45.83333333
140091,THE CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL,61801,Champaign,50,12.5,41,10.25,48.33333333,12.08333333,10,2.5,37.33333333
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,Vermilion,90,22.5,15,3.75,50,12.5,0,0,38.75
140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,Cook,60,15,14,3.5,60,15,20,5,38.5
140100,MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,60099,Lake,Not Available,Not Available,93,31,26.66666667,8.888888889,0,0,39.88888889
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,Grundy,45,11.25,65,16.25,83.33333333,20.83333333,0,0,48.33333333
140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,Cook,70,17.5,8,2,46,11.5,0,0,31
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,1100 EAST NORRIS DRIVE,OTTAWA,IL,61350,La Salle,33.33333333,8.333333333,30,7.5,70,17.5,0,0,33.33333333
140113,OSF HEART OF MARY MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,IL,61801,Champaign,57.5,14.375,48,12,64,16,10,2.5,44.875
140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,Cook,87.5,21.875,26,6.5,16.66666667,4.166666667,0,0,32.54166667
140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,Cook,40,13.33333333,18,6,Not Available,Not Available,0,0,19.33333333
140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,McHenry,75,18.75,26,6.5,40,10,0,0,35.25
140117,PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,Cook,77.5,19.375,22,5.5,28.33333333,7.083333333,0,0,31.95833333
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,Cook,70,17.5,17,4.25,50,12.5,0,0,34.25
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,Cook,67.5,16.875,41,10.25,31.66666667,7.916666667,0,0,35.04166667
140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,Tazewell,75,18.75,28,7,25,6.25,40,10,42
140122,ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,60521,DuPage,82.5,20.625,43,10.75,58.33333333,14.58333333,10,2.5,48.45833333
140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612,Cook,63.33333333,15.83333333,10,2.5,43.33333333,10.83333333,80,20,49.16666667
140125,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE,GRANITE CITY,IL,62040,Madison,30,7.5,39,9.75,76,19,20,5,41.25
140127,ADVOCATE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,NORMAL,IL,61761,McLean,52.5,13.125,45,11.25,48.33333333,12.08333333,40,10,46.45833333
140130,NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,Lake,77.5,19.375,50,12.5,36,9,10,2.5,43.375
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,Cook,75,18.75,16,4,63.33333333,15.83333333,0,0,38.58333333
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,IL,62526,Macon,72.5,18.125,19,4.75,38.33333333,9.583333333,10,2.5,34.95833333
140137,GREENVILLE REGIONAL HOSPITAL,200 HEALTH CARE DR,GREENVILLE,IL,62246,Bond,35,8.75,58,14.5,100,25,50,12.5,60.75
140143,ST MARGARETS HOSPITAL,600 E 1ST ST,SPRING VALLEY,IL,61362,Bureau,40,10,56,14,50,12.5,0,0,36.5
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,Clinton,40,10,100,25,65,16.25,30,7.5,58.75
140147,RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST,OLNEY,IL,62450,Richland,30,7.5,56,14,0,0,0,0,21.5
140148,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,62702,Sangamon,50,12.5,35,8.75,21.66666667,5.416666667,0,0,26.66666667
140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,Cook,75,18.75,21,5.25,26.66666667,6.666666667,0,0,30.66666667
140155,PRESENCE ST MARYS HOSPITAL,500 W COURT ST,KANKAKEE,IL,60901,Kankakee,75,18.75,49,12.25,58.33333333,14.58333333,20,5,50.58333333
140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,Cook,67.5,16.875,14,3.5,16.66666667,4.166666667,0,0,24.54166667
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,Stephenson,60,15,24,6,75,18.75,0,0,39.75
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,Livingston,33.33333333,8.333333333,53,13.25,50,12.5,50,12.5,46.58333333
140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,IL,61701,McLean,72.5,18.125,32,8,48.33333333,12.08333333,20,5,43.20833333
140164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62901,Jackson,67.5,16.875,26,6.5,41.66666667,10.41666667,0,0,33.79166667
140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521,Macon,60,15,28,7,72,18,20,5,45
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461,Cook,55,13.75,13,3.25,30,7.5,0,0,24.5
140174,PRESENCE MERCY MEDICAL CENTER,1325 N HIGHLAND AVENUE,AURORA,IL,60506,Kane,37.5,9.375,21,5.25,45,11.25,0,0,25.875
140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,Cook,65,16.25,4,1,52.5,13.125,0,0,30.375
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,Cook,80,20,30,7.5,45,11.25,0,0,38.75
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,60622,Cook,87.5,21.875,39,9.75,65,16.25,0,0,47.875
140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,Cook,56.66666667,14.16666667,13,3.25,0,0,0,0,17.41666667
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,Cook,62.5,15.625,35,8.75,68.33333333,17.08333333,0,0,41.45833333
140184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DE YOUNG,MARION,IL,62959,Williamson,40,10,27,6.75,57.5,14.375,10,2.5,33.625
140185,MEMORIAL HOSPITAL,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226,Saint Clair,77.5,19.375,51,12.75,31.66666667,7.916666667,30,7.5,47.54166667
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,KANKAKEE,IL,60901,Kankakee,75,18.75,57,14.25,43.33333333,10.83333333,0,0,43.83333333
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,Saint Clair,72.5,18.125,28,7,66.66666667,16.66666667,10,2.5,44.29166667
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372,MATTOON,IL,61938,Coles,72.5,18.125,72,18,54,13.5,40,10,59.625
140191,INGALLS MEMORIAL HOSPITAL,1 INGALLS DRIVE,HARVEY,IL,60426,Cook,97.5,24.375,19,4.75,31.66666667,7.916666667,0,0,37.04166667
140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,DuPage,60,15,34,8.5,51.66666667,12.91666667,20,5,41.41666667
140202,ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048,Lake,57.5,14.375,31,7.75,51.66666667,12.91666667,0,0,35.04166667
140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,Cook,60,15,12,3,62,15.5,0,0,33.5
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453,Cook,95,23.75,22,5.5,48.33333333,12.08333333,0,0,41.33333333
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,IL,61636,Peoria,45,11.25,37,9.25,55,13.75,20,5,39.25
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,Saline,0,0,43,14.33333333,Not Available,Not Available,40,13.33333333,27.66666667
140211,DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,60134,Kane,77.5,19.375,54,13.5,76,19,0,0,51.875
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,60451,Will,75,18.75,49,12.25,41.66666667,10.41666667,0,0,41.41666667
140217,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,77 N AIRLITE STREET,ELGIN,IL,60123,Kane,60,15,22,5.5,50,12.5,0,0,33
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,60068,Cook,70,17.5,24,6,26.66666667,6.666666667,0,0,30.16666667
140224,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,Cook,97.5,24.375,14,3.5,46.66666667,11.66666667,0,0,39.54166667
140228,SWEDISH AMERICAN HOSPITAL,1401 EAST STATE STREET,ROCKFORD,IL,61104,Winnebago,47.5,11.875,26,6.5,33.33333333,8.333333333,10,2.5,29.20833333
140231,EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,IL,60540,DuPage,100,25,32,8,20,5,10,2.5,40.5
140233,SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,ROCKFORD,IL,61108,Winnebago,37.5,9.375,14,3.5,16.66666667,4.166666667,0,0,17.04166667
140234,ILLINOIS VALLEY COMMUNITY HOSPITAL,925 WEST ST,PERU,IL,61354,La Salle,37.5,9.375,67,16.75,55,13.75,30,7.5,47.375
140239,MERCYHEALTH HOSPITAL ROCKTON AVENUE,2400 NORTH ROCKTON AVENUE,ROCKFORD,IL,61103,Winnebago,50,12.5,22,5.5,43.33333333,10.83333333,0,0,28.83333333
140240,WESTLAKE COMMUNITY HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,60160,Cook,60,15,23,5.75,46.66666667,11.66666667,10,2.5,34.91666667
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DuPage,77.5,19.375,54,13.5,48.33333333,12.08333333,0,0,44.95833333
140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,HAZEL CREST,IL,60429,Cook,72.5,18.125,15,3.75,53.33333333,13.33333333,0,0,35.20833333
140251,COMMUNITY FIRST MEDICAL CENTER,5645 W ADDISON STREET,CHICAGO,IL,60634,Cook,75,18.75,15,3.75,34,8.5,0,0,31
140252,NORTHWEST COMMUNITY HOSPITAL 1,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,Cook,67.5,16.875,22,5.5,40,10,0,0,32.375
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,Cook,85,21.25,22,5.5,38.33333333,9.583333333,0,0,36.33333333
140275,GENESIS HEALTH SYSTEM,801 ILLINI DRIVE,SILVIS,IL,61282,Rock Island,50,12.5,15,3.75,53.33333333,13.33333333,60,15,44.58333333
140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,60153,Cook,65,16.25,26,6.5,35,8.75,0,0,31.5
140280,TRINITY ROCK ISLAND,2701 17TH ST,ROCK ISLAND,IL,61201,Rock Island,45,11.25,17,4.25,0,0,30,7.5,23
140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,Cook,100,25,35,8.75,33.33333333,8.333333333,10,2.5,44.58333333
140286,KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,DEKALB,IL,60115,DeKalb,37.5,9.375,28,7,20,5,20,5,26.375
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,60515,DuPage,80,20,57,14.25,25,6.25,0,0,40.5
140289,ANDERSON HOSPITAL,6800 STATE ROUTE 162,MARYVILLE,IL,62062,Madison,40,10,56,14,41.66666667,10.41666667,20,5,39.41666667
140290,ST ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,60169,Cook,77.5,19.375,17,4.25,58.33333333,14.58333333,0,0,38.20833333
140291,ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,BARRINGTON,IL,60010,Lake,87.5,21.875,31,7.75,23.33333333,5.833333333,10,2.5,37.95833333
140292,ADVENTIST GLENOAKS,701 WINTHROP AVENUE,GLENDALE HEIGHTS,IL,60139,DuPage,40,10,15,3.75,50,12.5,10,2.5,28.75
140294,CROSSROADS COMMUNITY HOSPITAL,8 DOCTORS PARK ROAD,MOUNT VERNON,IL,62864,Jefferson,50,16.66666667,58,19.33333333,Not Available,Not Available,20,6.666666667,42.66666667
140304,ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,Will,82.5,20.625,28,7,30,7.5,0,0,35.125
140307,METRO-EAST SERVICES INC,1404 CROSS STREET,SHILOH,IL,62269,Saint Clair,66.66666667,16.66666667,71,17.75,32.5,8.125,70,17.5,60.04166667
150001,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,Johnson,32.5,8.125,42,10.5,90,22.5,40,10,51.125
150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,Lake,70,17.5,32,8,41.66666667,10.41666667,0,0,35.91666667
150004,FRANCISCAN HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,Lake,56.66666667,14.16666667,20,5,30,7.5,10,2.5,29.16666667
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,Hendricks,50,12.5,67,16.75,62.5,15.625,30,7.5,52.375
150006,LA PORTE HOSPITAL,1007 LINCOLNWAY,LA PORTE,IN,46350,LaPorte,52.5,13.125,20,5,43.33333333,10.83333333,0,0,28.95833333
