State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
OR,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,55,4,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,68,14,5,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,117,5,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,63,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,11,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,59,0,68,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,4,58,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,88,0,29,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,49,0,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,68,0,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,101,0,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Rate of readmission for stroke patients,READM_30_STK,0,32,0,41,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Rate of readmission for stroke patients,READM_30_STK,0,11,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Rate of readmission for stroke patients,READM_30_STK,0,32,0,84,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Rate of readmission for stroke patients,READM_30_STK,4,57,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Rate of readmission for stroke patients,READM_30_STK,1,38,0,66,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Rate of readmission for stroke patients,READM_30_STK,0,41,0,16,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Rate of readmission for stroke patients,READM_30_STK,0,55,0,30,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Rate of readmission for stroke patients,READM_30_STK,0,68,0,50,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Rate of readmission for CABG,READM_30_CABG,0,16,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Rate of readmission for CABG,READM_30_CABG,0,2,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Rate of readmission for CABG,READM_30_CABG,0,13,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Rate of readmission for CABG,READM_30_CABG,0,16,1,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Rate of readmission for CABG,READM_30_CABG,0,15,1,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Rate of readmission for CABG,READM_30_CABG,0,12,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Rate of readmission for CABG,READM_30_CABG,0,16,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Rate of readmission for CABG,READM_30_CABG,0,25,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,49,0,10,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,8,0,5,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,1,53,0,40,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,61,0,2,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,62,0,20,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,39,0,8,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,49,0,12,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,81,0,24,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,18,5,39
HI,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,8,0,5
MN,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,12,2,79
NJ,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,27,34,1
OK,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,21,3,53
OR,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,13,2,34
WA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,34,2,38
WI,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,11,30,2,74
AR,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,37,20,14
HI,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,12,1,2
MN,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,15,55,1,56
NJ,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,26,38,0
OK,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,70,6,35
OR,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,11,36,1,11
WA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,49,7,19
WI,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,29,76,2,13
AR,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,46,18,3
HI,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,7,6,5
MN,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,15,71,5,37
NJ,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,15,49,0
OK,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,16,80,9,13
OR,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,41,2,4
WA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,55,6,10
WI,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,27,87,2,4
AL,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,37,0,44,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,5,135,3,39,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,59,1,55,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,51,0,50,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,9,0,29,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,2,176,2,124,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,3,74,0,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,24,154,3,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,3,101,2,29,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,6,88,4,17,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,26,1,34,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,9,258,5,95,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,82,1,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,20,162,4,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,6,112,2,15,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,5,105,2,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,42,0,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,6,300,4,73,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,41,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,6,135,5,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,70,1,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,63,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,23,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,213,0,56,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,2,84,1,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,41,133,5,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,3,122,2,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,7,95,5,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,46,3,12,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,10,346,11,28,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,79,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,7,166,2,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,107,0,25,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,3,99,1,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,24,0,35,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,3,264,3,100,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Rate of readmission for stroke patients,READM_30_STK,1,54,0,30,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Rate of readmission for stroke patients,READM_30_STK,4,146,0,30,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Rate of readmission for stroke patients,READM_30_STK,2,72,0,46,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Rate of readmission for stroke patients,READM_30_STK,3,49,0,55,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Rate of readmission for stroke patients,READM_30_STK,0,14,0,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Rate of readmission for stroke patients,READM_30_STK,1,179,0,144,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Rate of readmission for CABG,READM_30_CABG,0,22,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,Rate of readmission for CABG,READM_30_CABG,2,69,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,Rate of readmission for CABG,READM_30_CABG,0,18,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,Rate of readmission for CABG,READM_30_CABG,0,32,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,Rate of readmission for CABG,READM_30_CABG,0,5,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,Rate of readmission for CABG,READM_30_CABG,1,104,1,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,65,0,10,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,126,0,43,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,87,0,31,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,88,0,10,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,17,0,9,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,218,0,87,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,26,8,43
FL,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,76,54,37
GA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,43,13,54
MO,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,34,7,49
MT,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,8,0,28
TX,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,13,120,42,124
AL,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,47,21,12
FL,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,10,81,83,11
GA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,72,23,29
MO,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,67,15,17
MT,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,19,1,34
TX,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,23,195,49,95
AL,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,51,29,5
FL,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,83,90,8
GA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,72,37,15
MO,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,15,70,23,5
MT,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,11,28,2,19
TX,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,55,207,43,73
CO,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,33,0,36,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,24,1,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,8,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,6,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,27,0,78,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,103,1,70,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,55,1,57,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,24,0,75,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,39,0,47,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,18,1,16,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,57,3,41,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,10,0,27,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,59,0,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,50,4,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,25,3,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,2,6,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,6,1,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,86,2,29,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,6,159,6,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,103,6,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,77,2,50,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,3,82,1,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,30,3,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,4,87,8,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,28,2,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,3,73,7,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,64,3,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
